latitude,longitude,state,year,hour,shape
39.8,-105.09,CO,2011,18,na
39.4,-101.05,KS,2012,22,triangle
35.37,-119.02,CA,1961,23,circle
33.54,-112.19,AZ,2011,4,sphere
25.77,-80.19,FL,2013,21,light
48.02,-117.28,WA,2004,21,triangle
39.96,-83.0,OH,2013,21,light
37.68,-95.46,KS,2010,16,fireball
35.16,-84.88,TN,2012,23,light
48.31,-101.74,ND,1976,15,cigar
38.81,-91.14,MO,2009,1,fireball
37.88,-84.57,KY,2012,9,cigar
29.95,-90.08,LA,2013,22,circle
39.83,-75.41,PA,2004,21,unknown
34.21,-84.14,GA,2008,21,sphere
33.25,-84.26,GA,2011,2,unknown
33.14,-96.11,TX,1997,19,other
45.2,-123.96,OR,2000,21,light
41.54,-72.81,CT,1967,19,unknown
28.04,-81.95,FL,2014,21,fireball
42.77,-78.74,NY,2008,18,other
38.98,-76.31,MD,2012,20,triangle
33.45,-112.07,AZ,2008,20,fireball
27.95,-82.46,FL,2007,11,oval
36.17,-115.14,NV,2012,20,unknown
45.78,-119.22,OR,2004,9,teardrop
42.64,-83.62,MI,2001,10,triangle
37.77,-122.42,CA,2009,11,sphere
44.98,-93.26,MN,2005,21,oval
43.19,-71.68,NH,2005,21,triangle
42.45,-73.25,MA,2007,0,unknown
43.09,-77.94,NY,2011,0,triangle
39.53,-119.81,NV,2009,6,unknown
42.96,-85.67,MI,2001,13,cigar
40.49,-86.13,IN,2008,20,circle
37.01,-122.19,CA,1997,21,circle
33.58,-92.83,AR,1968,16,circle
33.14,-117.17,CA,2013,23,triangle
40.53,-86.76,IN,1990,3,oval
27.95,-82.46,FL,2006,19,rectangle
42.61,-83.15,MI,2012,22,circle
28.03,-82.67,FL,2013,22,formation
40.12,-123.82,CA,2013,19,unknown
40.98,-74.12,NJ,2006,19,light
41.67,-81.34,OH,2007,10,unknown
33.2,-117.24,CA,1995,21,na
41.46,-72.82,CT,2008,20,formation
43.15,-77.62,NY,2002,22,light
35.71,-81.22,NC,1994,21,fireball
38.42,-82.45,WV,2002,2,changing
44.94,-123.03,OR,2014,0,circle
36.59,-82.19,TN,2012,21,triangle
36.75,-119.77,CA,2001,4,sphere
41.59,-87.35,IN,1986,23,unknown
39.76,-84.19,OH,2013,1,fireball
39.73,-104.83,CO,2005,10,light
40.32,-98.59,NE,1997,20,sphere
40.76,-111.89,UT,2007,6,light
28.11,-81.62,FL,2004,22,unknown
34.28,-119.29,CA,2000,4,light
39.14,-77.2,MD,2005,0,light
33.37,-112.58,AZ,2007,19,light
39.6,-74.34,NJ,2005,21,circle
36.01,-88.62,TN,1994,1,triangle
26.27,-80.27,FL,2005,18,disk
32.16,-94.34,TX,2006,11,circle
42.33,-122.87,OR,2002,19,light
37.55,-77.46,VA,2009,18,triangle
43.8,-91.24,WI,2012,22,unknown
34.05,-118.24,CA,2007,17,fireball
38.2,-84.87,KY,2014,23,triangle
47.86,-121.97,WA,1996,23,triangle
42.19,-71.84,MA,1999,24,light
36.47,-81.81,TN,1994,19,triangle
40.75,-80.32,PA,2013,24,oval
41.0,-88.89,IL,2014,18,light
32.22,-110.93,AZ,2012,21,triangle
26.68,-80.28,FL,2012,23,other
39.44,-82.83,OH,2014,22,triangle
27.8,-97.4,TX,2008,18,other
43.1,-89.5,WI,2008,0,triangle
38.83,-104.82,CO,2009,18,disk
39.77,-86.16,IN,2013,4,light
38.95,-84.68,KY,2013,20,fireball
38.58,-121.49,CA,2008,1,rectangle
37.84,-87.59,KY,2011,20,light
31.46,-100.44,TX,2014,20,unknown
40.34,-75.93,PA,2012,21,egg
47.61,-122.33,WA,2011,22,circle
33.84,-79.05,SC,2013,0,light
38.25,-85.76,KY,2013,21,light
38.71,-121.28,CA,2004,21,unknown
41.17,-74.04,NY,2011,21,fireball
38.98,-76.49,MD,2012,22,triangle
37.49,-122.24,CA,2005,13,other
40.44,-80.0,PA,2013,21,circle
36.3,-86.62,TN,2012,0,circle
35.96,-83.92,TN,2002,3,fireball
32.72,-117.16,CA,2011,23,light
32.45,-99.73,TX,2012,21,light
32.9,-105.96,NM,1988,21,light
38.2,-77.59,VA,1979,20,other
40.71,-74.01,NY,1950,0,oval
32.31,-106.78,NM,2007,15,triangle
38.63,-90.2,MO,2007,21,light
35.89,-106.31,NM,1998,18,unknown
37.78,-97.47,KS,2008,23,other
38.98,-76.49,MD,2001,4,triangle
42.1,-72.59,MA,1997,21,chevron
33.52,-84.67,GA,2000,0,triangle
33.2,-80.01,SC,2011,22,light
41.7,-72.3,CT,2005,20,fireball
33.6,-117.59,CA,2014,19,flash
34.56,-92.59,AR,2010,0,circle
41.6,-93.61,IA,2010,11,light
40.12,-111.65,UT,2004,21,triangle
34.42,-119.7,CA,1971,19,unknown
40.27,-76.88,PA,2011,0,sphere
33.75,-84.39,GA,1999,21,circle
36.87,-87.49,KY,2008,13,diamond
39.65,-104.99,CO,2008,18,changing
21.44,-158.19,HI,2001,16,sphere
32.9,-97.55,TX,2008,22,rectangle
